gene	JK215	JK217	JK218	JK219	JK228	JK229	JK230	JK231
Coq3	327	528	169	315	294	268	309	229
Faxc	130	159	50	86	65	113	108	104
Fbxl4	855	863	374	840	621	496	701	693
Pou3f2	1	2	0	0	2	0	4	1
Mms22l	137	107	46	85	193	382	183	104
Klhl32	51	66	17	43	40	27	64	18
Ndufaf4	641	1045	445	670	639	602	621	465
Gpr63	25	34	14	16	16	22	21	11
Fhl5	0	6	0	2	0	2	0	0
Ufl1	1825	1934	832	1685	1433	1359	1795	1475
Fut9	7	128	14	9	0	2	4	8
Manea	1744	1414	583	1177	1295	1025	1354	1195
4930548K13Rik	0	0	0	0	0	0	0	0
Epha7	541	383	241	512	319	170	304	332
4930556G01Rik	0	0	0	0	0	0	2	0
Map3k7	3423	3655	1754	2731	2437	2310	2921	2573
Bach2	1172	625	424	539	493	418	561	673
BC024582	4	1	0	5	37	45	33	2
Gja10	0	0	0	0	0	0	0	0
Casp8ap2	1205	1018	512	936	1019	1343	1152	993
Mdn1	1630	1892	979	1303	980	1617	1305	975
Lyrm2	924	1518	566	1165	857	553	929	743
Ankrd6	199	326	80	105	77	74	163	123
Rragd	660	762	203	814	275	247	583	469
4933421O10Rik	284	415	172	256	226	173	223	229
Ube2j1	3075	2836	1211	2240	3026	3298	3424	2526
Gabrr2	11	22	9	14	4	12	10	6
Gabrr1	0	0	0	0	0	15	10	1
Pm20d2	370	463	152	273	159	103	354	225
Srsf12	4	14	2	8	7	15	2	3
Pnrc1	4896	3841	1674	3497	3650	2764	4141	3472
Rngtt	849	921	420	777	785	871	888	677
Cnr1	123	97	46	52	155	106	122	98
Spaca1	6	7	4	4	7	3	2	6
Akirin2	2182	1963	821	1530	1914	1445	1998	1670
Orc3	1626	1812	835	1468	1460	1402	1507	1238
Rars2	714	795	323	694	745	662	767	548
Slc35a1	1246	1764	721	1231	911	681	1098	803
1700003M02Rik	865	1486	282	669	391	385	965	537
Gm136	0	0	0	0	0	0	0	0
Smim8	365	608	202	449	433	278	386	331
Zfp292	2242	2294	1150	2144	1395	1893	1877	1644
Cga	0	0	0	0	0	0	0	0
2410114N07Rik	0	0	0	0	0	0	0	0
Mob3b	1685	1712	644	1574	982	645	1573	1126
Ifnk	0	0	0	0	0	0	0	0
3110043O21Rik	671	670	325	604	753	875	899	475
Lingo2	0	1	0	0	0	0	0	0
Mir876	0	0	0	0	0	0	0	0
Mir873	0	0	0	0	0	0	0	0
1700009N14Rik	1	0	1	0	0	0	0	0
Aco1	2826	2445	928	2177	2098	1866	2696	1825
Ddx58	2907	2209	1187	2502	8169	8995	7368	4024
Topors	2211	2076	905	1684	1497	1411	1689	1623
2010003O02Rik	238	324	119	245	109	68	181	146
Ndufb6	906	1907	694	1188	835	776	1076	668
4930509K18Rik	0	0	0	0	0	0	0	0
Tmem215	3	1	0	0	2	3	0	1
4933428C19Rik	0	0	0	0	0	0	0	0
Aptx	996	1093	435	843	720	602	865	703
Gm6297	45	67	34	40	39	23	38	35
Dnaja1	4232	4821	2171	3345	3575	3043	4807	2659
Mir207	0	0	0	0	0	0	0	0
Smu1	2877	3034	1197	2676	2908	2598	2901	2245
B4galt1	6268	5840	1989	3686	8444	9598	8480	4789
Mir5123	0	3	0	1	0	0	1	0
Spink4	43	71	32	67	27	6	31	36
Bag1	6989	10326	4975	7766	6556	4182	7758	6362
Chmp5	4382	5939	2518	4684	3949	2856	4652	3593
Nfx1	2209	2399	1151	1777	1675	1981	2258	1793
Mir3094	0	0	0	0	0	0	0	0
Aqp7	10	35	3	0	0	0	0	0
Aqp3	32	76	17	27	26	53	141	14
Nol6	1254	965	496	883	1293	1501	1354	912
Ube2r2	4351	4172	1787	3429	4033	3017	4423	3293
Ubap2	2454	2454	1161	1932	1975	2191	2579	1933
Dcaf12	2634	2417	1102	1948	2176	2066	2560	1886
Ubap1	2419	2069	900	1713	2332	2289	2477	1856
Kif24	143	210	41	83	99	186	247	122
Nudt2	277	472	170	333	253	180	240	151
AI464131	729	710	296	761	370	175	560	713
1110017D15Rik	646	1488	295	559	298	176	788	405
1700066J24Rik	0	1	0	0	0	0	0	0
Fam219a	2053	1825	966	1321	1732	1376	1915	1638
Dnaic1	535	796	166	368	145	79	446	245
Enho	674	775	301	403	585	218	592	656
Cntfr	326	268	169	154	135	98	192	189
Rpp25l	577	547	230	470	504	424	564	427
Dctn3	1273	2080	743	1430	1114	1056	1424	901
Arid3c	1	0	0	0	0	0	0	0
Sigmar1	1640	1409	593	1116	1280	1531	1815	1145
Galt	927	908	396	659	791	596	916	682
Il11ra1	1565	2055	866	1325	1177	813	1459	1223
Ccl27a	140	229	109	169	87	35	113	90
Gm3893	0	0	0	0	0	0	0	0
Gm10591	0	0	0	0	0	0	0	0
Ccl21c	0	0	0	0	0	0	0	0
Gm13304	0	0	0	0	0	0	0	0
Gm21541	0	0	0	0	0	0	0	0
Ccl21b	0	0	0	0	0	0	0	0
Gm21586	0	0	0	0	0	0	0	0
Gm20878	0	0	0	0	0	0	0	0
Gm13308	0	0	0	0	0	0	0	0
Gm13298	0	0	0	0	0	0	0	0
4933409K07Rik	0	0	0	0	0	0	1	0
Ccl27b	0	0	0	0	0	0	0	0
Gm13306	0	0	0	0	0	0	0	0
LOC100861978	0	0	0	0	0	0	0	0
Gm2506	0	0	0	0	0	0	0	0
Gm2002	0	0	0	0	0	0	0	0
Il11ra2	0	0	0	0	0	0	0	0
Gm13305	0	0	0	0	0	0	0	0
Ccl19	120	120	49	63	215	216	196	150
Ccl21a	0	0	0	0	0	0	0	0
Gm1987	0	0	0	0	0	0	0	0
BC049635	2	3	0	3	0	0	0	1
N28178	556	528	250	554	139	42	131	255
Dnajb5	1605	1474	588	778	1216	963	1453	1299
1700022I11Rik	0	0	0	0	0	0	0	0
Vcp	6925	5540	2047	3643	6192	4682	5650	4831
Fancg	329	319	159	266	246	315	411	286
Pigo	696	783	331	693	513	653	675	469
Stoml2	1259	1712	642	1217	1214	1226	1384	955
Fam214b	1539	1690	731	1075	1550	1816	2061	1298
Unc13b	2879	3178	1489	2580	1156	779	1931	1797
Atp8b5	35	69	26	52	17	11	43	32
Rusc2	5260	4459	2546	2603	2727	1872	3315	4224
Fam166b	426	800	178	464	172	175	613	286
Tesk1	2445	2104	952	1414	1921	2054	2397	1736
Cd72	237	142	92	140	2619	3606	1979	289
Sit1	49	32	23	28	72	97	2	47
Rmrp	28	72	13	18	17	24	23	21
Ccdc107	1033	2049	683	1419	685	458	932	705
Arhgef39	99	135	32	92	127	73	124	105
Car9	31	12	11	49	59	59	54	33
Tpm2	3567	6276	1383	3478	2913	2896	4294	3050
Tln1	18674	12790	7040	9880	15666	18861	19716	13786
Creb3	2324	2717	931	2570	2859	2541	3125	2017
Gba2	1104	1138	536	830	701	730	984	678
Rgp1	2771	2421	1136	1992	1889	1768	2246	1903
Msmp	1	1	0	0	0	0	1	0
Npr2	4846	4339	2103	3197	2248	1203	2302	3155
Spag8	299	476	74	216	108	152	442	190
Hint2	707	1067	354	677	474	297	609	494
Fam221b	18	10	3	7	2	1	4	6
Tmem8b	778	652	297	503	319	282	476	481
Olfr70	0	0	0	0	0	0	0	0
Olfr71	0	1	0	0	0	0	1	0
Hrct1	326	384	172	276	286	204	347	394
5430416O09Rik	435	399	180	629	258	125	407	497
A630077J23Rik	42	48	18	28	11	5	14	24
Olfr159	0	0	0	2	0	0	0	0
Olfr29-ps1	0	0	0	0	0	0	0	0
Olfr156	0	0	0	0	0	0	0	0
Olfr157	0	0	0	0	0	0	0	0
Olfr155	0	0	0	0	0	0	0	0
Reck	4073	2590	1484	1885	2251	1141	2268	3099
Glipr2	1782	2264	786	2603	3175	3800	3467	1777
Ccin	3	6	4	7	3	4	16	2
Clta	5087	6562	2451	5192	5617	5066	6311	4483
Gne	1691	1669	656	1295	1103	798	1577	1491
Gm12504	11	9	3	12	4	8	11	6
Rnf38	3042	2459	1240	1734	2018	1757	2251	2300
Mir5106	1	0	0	0	0	0	0	0
Melk	48	100	32	46	230	323	270	118
Pax5	158	30	34	81	80	36	0	64
5730488B01Rik	1	0	0	0	0	1	0	0
Zcchc7	1606	1966	882	1465	1303	1038	1230	1105
Grhpr	497	518	151	406	273	214	464	353
Zbtb5	528	560	235	406	636	764	667	497
Polr1e	266	226	110	185	259	322	314	161
Fbxo10	667	592	278	522	385	352	579	479
Tomm5	575	1323	483	789	580	543	592	379
Frmpd1	305	197	102	162	84	32	145	86
2900093L17Rik	0	0	0	0	1	0	1	1
Trmt10b	355	581	198	405	316	210	331	306
Exosc3	670	878	355	696	881	854	855	543
Dcaf10	1940	1946	804	1487	1385	1187	1884	1493
Slc25a51	5656	6009	2499	4650	3264	2370	4465	4051
Shb	1566	1162	459	1070	1408	936	1482	1029
Gm829	1	0	0	0	0	2	0	0
Gm12409	5	3	7	4	5	3	1	5
Aldh1b1	36	100	40	25	245	456	394	50
Igfbpl1	0	1	2	0	2	2	4	0
1300002K09Rik	14	34	15	68	363	543	216	38
E230008N13Rik	1001	1699	359	754	300	289	828	548
Tdrd7	2633	2320	1221	1817	3916	3912	3898	2642
Tmod1	2867	3950	1195	3434	1679	639	2194	2691
Tstd2	1209	1221	543	1027	927	1012	1206	780
Ncbp1	1949	1709	736	1393	1750	1836	1785	1503
Xpa	469	507	233	465	550	346	588	530
Foxe1	0	0	0	0	1	0	0	0
5830415F09Rik	276	220	111	209	180	186	201	149
Hemgn	1	0	5	4	1	6	8	1
Anp32b	3202	3169	1408	2801	4369	4115	3764	3234
Nans	1128	1238	489	959	1164	1419	1465	772
Trim14	255	248	120	157	417	689	635	256
Coro2a	849	1393	391	512	2754	4268	3430	1478
Tbc1d2	589	627	179	726	632	554	763	439
Gabbr2	0	1	0	0	4	1	2	0
Anks6	266	186	86	159	99	109	131	151
Galnt12	198	232	80	140	185	201	258	144
Col15a1	637	782	138	356	543	711	757	311
Tgfbr1	3061	3054	1411	2449	2422	3200	5599	2200
Alg2	1194	1201	524	1034	947	789	1150	1079
Sec61b	1763	3408	1221	2281	2023	1787	2164	1264
Nr4a3	672	310	112	147	150	263	225	159
Stx17	2261	2571	1113	2107	1432	1339	2086	1819
Erp44	3256	3294	1314	2964	3715	3631	4016	2749
Invs	766	784	375	664	379	327	681	490
Tex10	706	627	291	501	714	972	804	588
Msantd3	265	305	129	225	292	276	297	234
Tmeff1	1532	1434	841	1008	600	458	1147	947
Murc	38	66	22	38	33	29	54	23
E130309F12Rik	6	2	1	2	1	1	0	1
Acnat2	0	0	0	0	0	0	3	0
Acnat1	37	60	18	19	3	6	10	5
Baat	1	3	9	0	0	3	6	2
Mrpl50	967	1434	625	1114	919	723	1012	762
Zfp189	353	367	169	233	249	185	241	209
Aldob	0	4	79	3	6	2	29	1
Tmem246	1012	1068	389	842	579	305	864	784
Rnf20	3257	3185	1588	2795	2504	2392	3082	2424
Grin3a	22	34	6	16	4	13	18	13
Ppp3r2	3	1	0	5	3	1	2	0
Cylc2	0	0	0	0	0	0	0	0
C630028M04Rik	0	0	0	0	0	0	0	0
2700081L22Rik	1	5	0	10	7	1	5	1
Smc2	512	481	258	398	853	1507	900	606
4930547C10Rik	0	0	0	0	0	0	0	0
4930552N02Rik	0	0	0	0	0	0	0	0
Olfr275	0	0	0	0	0	0	0	0
Olfr273	0	0	0	0	0	0	0	0
Olfr272	0	0	0	0	0	0	0	0
Olfr270	0	0	0	0	0	0	0	0
Nipsnap3a	0	0	0	0	0	0	0	0
Nipsnap3b	904	1176	449	872	953	965	1070	678
Abca1	4401	2589	1817	2805	2169	2585	3647	3143
4930522O17Rik	15	14	16	26	8	0	12	1
AI427809	12	13	0	9	22	24	19	5
Slc44a1	2357	1909	1089	1586	1763	1770	2134	1916
Fsd1l	1089	1979	513	946	403	428	960	676
Fktn	693	737	368	731	387	314	595	475
Tal2	8	8	1	11	8	5	11	7
Tmem38b	1235	1419	617	1058	1501	1280	1695	1261
Zfp462	1344	893	455	921	445	288	397	549
Rad23b	5716	4787	2099	4299	5412	5621	5770	4747
Gm12505	0	0	0	0	0	0	0	0
Klf4	11230	8811	4269	4359	6436	5621	10239	9563
Actl7b	5	2	1	0	1	1	0	2
Actl7a	0	0	0	0	0	0	0	0
Ikbkap	1371	1324	635	1047	1004	1048	1271	928
BC026590	684	704	319	587	584	654	700	488
Ctnnal1	912	899	477	926	586	358	624	664
Tmem245	1764	2002	999	1972	705	806	1269	1152
Mir32	0	2	0	0	0	1	0	0
Frrs1l	1	3	0	1	5	14	0	1
Epb4.1l4b	3467	3653	1478	2770	1734	836	2972	2977
Gm12530	18	37	2	7	3	7	25	2
Ptpn3	1604	1582	622	1351	680	530	1086	997
1700042G15Rik	0	0	0	0	0	0	0	0
Palm2	151	168	79	90	39	93	106	89
Akap2	32439	24997	13777	27472	26025	21680	31145	31087
D630039A03Rik	574	753	230	638	187	186	442	350
Txn1	6230	8985	3216	6727	9070	8774	8266	4326
Txndc8	0	0	0	0	0	0	0	0
Svep1	2926	1658	1099	1221	3498	3143	2780	2832
Musk	2	11	3	0	10	15	11	11
Lpar1	839	1328	404	724	2012	2449	1742	1186
Mir3095	0	0	0	0	0	0	0	0
Olfr267	0	1	0	0	2	0	0	0
AI314180	3935	3944	1789	3115	3412	3193	4033	3206
Zkscan16	4	6	2	1	0	4	1	1
Ptgr1	1370	1896	475	1509	726	415	1014	800
Dnajc25	517	623	229	413	500	457	544	466
Gng10	1048	2061	726	1149	906	949	1265	683
Ugcg	3810	2285	1398	2057	4487	4168	4043	2808
Susd1	172	136	48	114	154	126	145	106
Ptbp3	8195	6193	3185	5333	9018	10082	9001	6936
Hsdl2	1448	1461	645	1149	1291	1106	1395	1124
E130308A19Rik	312	286	166	300	217	210	287	293
Inip	954	911	346	692	914	845	950	726
Snx30	1578	1636	714	1837	1162	941	1546	1414
Slc46a2	0	0	0	0	0	0	0	0
Mup4	0	0	0	0	0	0	0	0
Mup6	0	0	0	0	0	0	0	0
Mup7	0	0	39	0	0	0	0	0
Mup15	0	0	0	0	0	0	0	0
Mup2	0	0	0	0	0	0	0	0
Mup8	0	0	0	0	0	0	0	0
Mup9	0	0	0	0	0	0	0	0
Mup1	0	0	4	0	0	0	0	0
Mup10	0	0	0	0	0	0	0	0
Mup11	0	0	0	0	0	0	0	0
Gm2083	0	0	0	0	0	0	0	0
Mup12	0	0	4	0	0	0	0	0
Mup13	0	0	0	0	0	0	0	0
Mup14	1	0	10	0	0	0	0	0
Mup16	0	0	0	0	0	0	0	0
Mup17	0	0	0	0	0	0	0	0
LOC100048884	0	0	0	0	0	0	0	0
Mup19	0	0	0	0	0	0	0	0
Mup5	0	0	0	0	0	0	0	0
Mup20	0	0	229	1	1	1	2	0
Mup3	0	1	277	5	2	1	5	0
Mup21	0	0	12	1	1	1	0	0
Zfp37	547	558	259	477	423	395	405	358
Slc31a2	1390	1796	806	1372	2069	2542	2659	1288
Fkbp15	2762	2411	1167	2019	2483	2751	3261	2425
Slc31a1	3496	4114	1664	3408	3701	3364	4776	3575
Cdc26	573	858	370	552	432	355	487	379
Prpf4	1249	1049	455	759	978	1062	1013	848
Rnf183	6	8	1	5	5	5	6	4
Wdr31	179	318	63	162	126	104	205	109
Bspry	741	879	251	766	414	398	766	467
Hdhd3	132	124	56	178	99	64	111	75
Alad	1631	1981	698	1772	1215	787	1331	1263
Pole3	587	767	377	639	633	568	666	542
4933430I17Rik	13	11	6	8	16	18	18	10
Rgs3	2198	1624	842	1929	851	994	1322	952
Zfp618	51	51	20	13	37	75	25	26
Ambp	1	0	51	0	5	5	34	1
Kif12	0	2	0	1	1	1	1	0
Col27a1	1200	1435	742	1087	650	591	890	741
Mir455	0	0	0	0	0	0	0	0
Orm1	27	168	24	8	460	304	653	76
Orm3	35	21	31	4	40	7	63	52
Orm2	3	5	0	0	41	33	196	14
Akna	3497	2390	1311	1752	2898	4410	3951	2263
Whrn	259	271	139	274	159	138	238	154
Atp6v1g1	3745	6128	2110	4388	4026	3078	4700	3350
6330416G13Rik	652	748	321	687	842	914	1365	559
Gm11213	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0
Tnfsf15	156	208	75	261	169	161	199	102
Tnfsf8	47	47	25	36	68	189	95	36
Tnc	1185	1075	334	747	2259	4318	2112	660
Pappa	102	134	54	39	141	210	220	145
Astn2	1113	704	367	507	814	841	945	769
Trim32	734	548	249	412	431	351	520	501
Tlr4	1084	1400	575	971	1038	1491	1354	695
Dbc1	94	87	37	142	225	282	189	108
Cdk5rap2	585	481	269	415	521	667	662	478
Megf9	1265	915	513	1184	614	484	1073	991
Tle1	2866	3052	1262	1405	2072	1603	2723	2675
C630043F03Rik	413	354	189	305	237	138	211	256
Aldoart1	0	0	1	1	0	0	0	0
Gm11487	0	0	0	0	0	0	0	0
LOC100502924	0	0	0	0	0	0	0	0
Gm428	0	0	0	0	0	0	0	0
Rasef	1405	1434	550	1469	549	384	929	852
Gm11240	7	3	2	5	2	0	5	1
Gm13871	0	0	0	0	0	0	0	0
Gm11757	0	0	0	0	0	0	0	0
Gm11758	0	0	0	0	0	0	0	0
Gm11756	0	0	0	0	0	0	0	0
2310002L09Rik	0	14	9	0	0	3	17	0
Frmd3	45	35	9	33	2	4	6	11
Kdm4c	1851	1611	819	1452	1398	1260	1652	1429
3110001D03Rik	800	1135	457	830	744	600	764	551
Ptprd	3307	2792	1546	1640	2212	1707	2205	2152
Tyrp1	0	0	0	0	0	0	0	0
Lurap1l	2115	1780	821	1946	957	484	1172	1041
Mpdz	2267	1579	1009	1348	1412	1098	1396	1427
Mir466h	0	0	0	0	0	0	0	0
Gm5860	1	0	1	0	1	0	3	0
Nfib	10373	8131	4036	6401	6654	4283	6800	7106
Zdhhc21	1731	2196	824	1493	1573	1932	1991	1430
Cer1	0	1	0	0	0	0	0	0
Frem1	788	860	347	402	601	610	617	427
Ttc39b	2516	2639	1161	2446	3475	4711	2831	2079
Gm11413	4	7	7	2	2	1	2	1
Snapc3	475	580	283	469	338	422	464	280
Psip1	2435	2150	1002	2002	1973	2081	2153	1863
Ccdc171	238	362	109	234	114	129	239	141
Bnc2	240	215	91	198	114	124	112	133
Cntln	1268	1173	615	802	775	638	1020	815
Sh3gl2	243	215	92	93	48	44	78	70
Adamtsl1	659	655	241	704	414	235	385	419
Fam154a	0	0	0	0	0	0	0	0
Rraga	2119	2417	941	1820	1967	1725	2178	1631
Haus6	392	469	254	326	410	592	394	302
Scarna8	2	1	3	2	0	0	0	0
Plin2	4221	4416	1593	4768	12369	17391	9559	3855
Dennd4c	2036	1907	844	1498	1362	2065	2036	1597
Rps6	11600	17628	7920	12290	11749	11060	12050	9705
Acer2	20084	17563	8999	8210	11364	6994	12195	16586
Slc24a2	24	20	15	18	5	11	22	4
Mllt3	1343	1240	698	1104	1224	1177	1371	1118
Focad	716	670	367	506	660	744	720	691
Mir491	2	4	0	1	0	0	1	1
Ptplad2	362	456	189	359	291	236	486	320
Ifnb1	0	0	1	0	86	96	32	1
Gm12597	0	0	0	0	0	0	0	0
Ifna14	0	0	0	1	0	0	0	0
Ifna9	0	0	0	0	1	0	0	0
Ifna12	0	0	0	0	0	0	0	0
C87499	0	0	0	0	0	0	0	0
Ifna13	0	0	0	0	0	0	0	0
Gm13280	0	0	0	0	0	0	0	0
Ifna2	0	0	0	0	4	2	0	0
Ifnab	0	0	0	0	0	0	0	0
Klhl9	4311	5431	2134	4300	2787	2278	3865	3042
Gm13271	0	0	0	0	0	0	0	0
Gm13286	0	0	0	0	0	0	0	4
Gm13283	1	1	0	0	0	0	0	0
Gm13289	0	0	0	0	0	0	0	0
Gm13290	0	0	0	0	0	0	0	0
Gm13285	0	0	0	0	0	0	0	0
Gm13272	0	0	0	0	0	0	0	0
Ifnz	1	2	0	1	0	4	0	1
Gm13276	0	0	0	0	0	0	0	0
Gm13277	0	2	0	0	0	0	0	0
Gm13278	0	0	0	0	0	0	0	0
Gm13279	0	0	0	0	0	0	0	0
Gm13275	0	2	0	0	0	0	1	0
Gm13287	0	0	0	0	0	0	0	0
Gm13288	1	0	0	0	0	0	0	1
Ifna7	0	0	0	0	0	0	0	0
Ifna11	0	0	0	0	0	0	0	0
Ifna6	0	0	0	0	0	0	0	0
Ifna5	0	0	0	0	1	1	1	0
Ifna4	0	0	0	0	10	10	2	0
Ifna1	0	0	0	0	0	0	1	0
Ifne	0	0	0	0	0	0	0	0
Mir31	0	1	1	0	0	3	0	0
Gm12603	0	0	0	0	1	1	1	0
Mtap	963	942	405	838	877	843	719	625
Cdkn2a	28	61	25	36	10	15	36	26
Cdkn2b	1232	1108	466	1559	1569	828	1450	1188
Dmrta1	10	5	3	9	15	39	5	2
Zfp352	0	0	0	0	0	0	0	0
Gm12633	0	0	0	0	0	0	0	0
Elavl2	8	14	4	4	4	1	10	1
Izumo3	0	0	0	0	0	0	0	0
Tusc1	196	183	74	170	222	169	281	170
Caap1	468	486	245	392	407	347	440	344
Plaa	2495	2342	1010	1861	3044	3053	2855	2003
Gm12657	0	1	2	2	0	2	0	0
Ift74	899	1236	323	747	723	603	1048	660
Lrrc19	0	0	0	0	0	0	0	0
Mir872	0	0	0	1	0	0	0	0
Tek	21015	11446	7543	9745	8607	5116	12014	11554
Eqtn	10	12	6	18	15	18	13	8
Mysm1	2113	2310	1213	1840	1365	1510	1678	1533
Jun	15561	10582	4537	10203	12291	12308	13918	11999
Fggy	333	300	166	169	199	144	295	175
9530080O11Rik	0	3	0	1	5	1	2	2
Hook1	753	946	383	868	513	514	809	657
Cyp2j13	0	0	0	0	0	0	0	0
Cyp2j12	0	0	0	0	0	0	0	0
Cyp2j11	0	0	0	0	0	0	0	0
Cyp2j8	5	1	1	1	3	2	4	0
Cyp2j6	1046	1100	394	874	678	543	843	722
Cyp2j9	401	357	136	274	244	140	282	249
Cyp2j5	0	1	12	0	0	0	4	0
Gm12695	160	537	89	132	38	41	163	79
E130114P18Rik	6	9	1	3	16	0	3	7
Nfia	2717	2281	958	1531	1953	1351	1998	2129
Tm2d1	906	1554	656	1118	879	649	928	736
Inadl	2907	2575	1093	3267	1499	839	2356	2071
L1td1	17	8	5	13	12	4	17	12
Kank4	977	790	571	737	470	219	736	724
A730085A09Rik	1	0	1	0	3	5	1	1
Usp1	1909	1669	812	1376	2255	2388	2130	1692
Dock7	3444	3432	1320	2730	1647	1648	2647	2229
Angptl3	4	14	12	4	15	23	17	5
Atg4c	689	631	288	597	646	393	730	592
Foxd3	1	6	0	0	2	2	5	2
Alg6	524	498	200	351	292	266	389	289
Itgb3bp	210	435	173	261	153	119	209	172
Efcab7	171	282	78	165	129	101	186	90
Pgm2	1701	1567	533	1819	1451	1271	1979	1364
Ror1	262	170	85	184	179	310	195	154
Ube2u	5	9	0	2	4	5	17	3
Cachd1	1093	889	457	1054	739	675	995	861
Raver2	2969	2049	1354	1656	1601	756	1475	2288
Jak1	11944	7619	4362	6764	9834	11531	11008	8191
E130102H24Rik	195	293	171	217	171	165	198	213
Mir101a	0	0	0	0	0	0	0	0
0610043K17Rik	27	38	18	37	38	23	25	18
Ak4	124	82	64	69	96	123	98	76
Dnajc6	155	88	44	93	103	61	100	83
Leprot	4728	4113	1871	3416	4049	3221	4720	3661
Lepr	5334	3919	1930	2976	3375	1965	3057	3989
B020004J07Rik	0	0	0	0	0	0	0	0
Gm12794	0	0	0	0	0	0	0	0
Gm12789	0	0	0	0	0	0	0	0
Pde4b	5757	5137	3182	3882	3067	3877	4102	2757
Sgip1	843	628	392	485	472	301	528	661
Gm12709	0	0	0	0	0	0	0	0
Tctex1d1	1	4	0	2	1	3	8	3
BB031773	0	0	0	0	1	0	0	0
Insl5	6	16	8	3	0	0	2	4
Wdr78	1192	1919	454	927	442	332	1309	724
Mier1	4528	5246	2703	4125	3866	3711	4230	3802
Slc35d1	407	429	221	311	330	355	391	317
4921539E11Rik	0	0	0	0	0	0	0	0
4930456L15Rik	0	0	0	0	0	0	0	0
Oma1	823	919	413	863	592	435	774	603
Gm12718	0	1	2	0	0	0	0	0
Dab1	22	28	5	15	11	3	16	19
C8b	1	1	2	0	0	0	6	0
C8a	1	0	19	0	0	2	8	0
1700024P16Rik	17	16	2	7	9	11	9	7
Prkaa2	1402	1530	595	1318	674	400	1174	998
Ppap2b	16452	10549	5578	8382	11885	9821	14085	13806
Usp24	4056	4289	1886	3101	2731	3111	3941	3156
Pcsk9	15	10	9	4	2	10	14	1
Bsnd	0	1	0	0	0	0	0	0
Dhcr24	3057	3345	1172	2002	2233	1987	3068	1943
BC055111	0	3	0	2	0	0	4	2
Ttc22	64	54	27	58	77	72	92	50
Pars2	130	150	59	124	140	166	207	130
Ttc4	1244	1720	685	1260	986	935	1295	944
Heatr8	23	38	18	17	11	6	11	8
Fam151a	15	4	4	6	5	4	7	6
Acot11	876	866	328	862	591	554	823	666
Ssbp3	2433	2018	885	1629	1548	1289	2026	1534
Mrpl37	1259	1350	527	1009	1138	1109	1294	939
Cyb5rl	254	260	85	185	94	84	169	160
Cdcp2	0	0	0	0	1	0	0	1
Tceanc2	892	924	441	713	921	862	1102	778
Tmem59	14142	14827	5774	12010	9204	5990	12638	9863
Ldlrad1	439	949	144	262	95	82	484	233
Lrrc42	957	1027	377	913	712	582	804	656
Hspb11	386	913	184	456	288	193	369	256
Dio1	26	66	8	14	22	20	47	16
Yipf1	1265	1716	615	1181	1161	1007	1472	934
Tmem48	204	242	109	187	256	428	336	227
Glis1	11	13	5	3	19	10	10	4
Dmrtb1	0	0	0	0	0	0	0	2
Lrp8	70	80	34	65	232	436	207	58
Magoh	1442	2192	976	1629	1844	1455	1515	1259
0610037L13Rik	1269	1509	645	1182	1025	815	1040	775
Cpt2	769	851	304	614	676	657	981	723
Slc1a7	2	3	1	8	31	10	5	13
Podn	1248	915	524	995	1698	1173	1349	1315
Scp2	4208	5360	2233	4590	3511	2252	4185	3246
Echdc2	986	1457	672	1063	638	423	765	699
Zyg11a	1	2	0	0	0	0	0	0
Zyg11b	2957	2522	1216	2074	1813	1910	2462	2266
Selrc1	277	361	150	150	192	300	310	215
Fam159a	34	65	6	21	3	12	34	11
Gpx7	511	587	235	435	517	451	517	354
Zcchc11	2121	1670	913	1472	1910	2196	1981	1754
Prpf38a	1162	1412	587	1012	1658	1602	1382	936
Orc1	8	12	2	8	72	147	39	15
Cc2d1b	1712	1782	835	1489	1568	1583	1831	1406
Zfyve9	972	743	422	693	596	499	764	676
3110021N24Rik	5	14	6	5	7	2	21	7
Btf3l4	984	1266	482	997	919	603	952	797
Txndc12	1729	1970	792	1615	1456	1194	1859	1241
Kti12	771	722	347	489	770	637	723	523
Rab3b	24	63	17	23	21	17	27	28
8030443G20Rik	0	0	0	0	0	0	0	0
Nrd1	6839	7725	3790	6345	5432	5496	6890	5445
Mir761	8	13	5	9	1	5	1	4
Osbpl9	8387	9591	3875	8804	7602	5942	8692	6716
Calr4	10	11	6	10	5	1	10	8
Eps15	7404	6397	3278	5110	5429	4634	5904	5543
Ttc39a	965	1650	276	868	559	373	1131	540
Rnf11	5523	6334	2974	4762	3729	2841	4532	3624
4930522H14Rik	0	4	0	0	0	0	0	0
Cdkn2c	718	788	351	431	541	365	555	451
Faf1	1720	2123	782	1760	1590	1446	1934	1403
Dmrta2	12	12	11	7	9	9	9	6
Elavl4	2	7	2	7	6	1	1	1
Agbl4	17	36	4	12	3	3	22	9
Bend5	169	103	74	107	76	57	57	76
Spata6	1878	1945	721	1260	1767	1422	1759	1410
Slc5a9	9	34	5	3	7	5	47	3
Skint8	0	0	0	0	1	0	0	0
Skint7	0	0	0	0	0	0	0	0
Skint1	0	4	0	0	0	0	0	0
Skint4	0	0	0	0	0	0	0	0
Skint3	78	80	58	75	77	64	75	85
Skint9	0	0	0	0	0	0	0	0
